productId,Rating,Date,Feedback_translated,Feedback,,Name,Country,Upvotes,Downvotes,Product Longevity,User Instructions Clarity,Pain Level,Design,Quality,Ease of Installation,Quality of Material,Functionality,User Friendly,Quality of Material,Adaptability To Environment,Versatility,Size Options,Quality of Shine,Usability,Gameplay Experience,Style,Color Options,Value for money,Tech support,Ease of use,Power efficiency,Fit,Packaging ,Brightness,Application scope,Compatibility,Ease of use,Hygiene,Item specification accuracy
1005006730888577,100,18 May 2024,Very good packaging well protected but not yet mounted,très bon emballage bien protégé mais pas encore monté,,a***r,FR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,60,29 May 2024,"lights are extremely bright, we used 1.2v battery instead of the promoted 1.5v which helped a little but now 2 top lights are not working","lights are extremely bright, we used 1.2v battery instead of the promoted 1.5v which helped a little but now 2 top lights are not working",,AliExpress Shopper,US,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,25 May 2024,"I like it very much for my son. It is as the description, you just have to put batteries. Thank you","Me gusto mucho para mi hijo. Es tal cual la descripción, solo hay que ponerle pilas. Gracias ",,R***S,CL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,23 Apr 2024,"corresponds to the description, fast delivery, well packaged, recommend…………………………….,…….,,,  xxxxxxcc","corresponds to the description, fast delivery, well packaged, recommend…………………………….,…….,,,  xxxxxxcc",,AliExpress Shopper,UA,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,03 May 2024,As described. Good quality. Batteries not included. Fast shipping.,As described. Good quality. Batteries not included. Fast shipping.,,J***h,HU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,14 May 2024,Works very well and is of good quality,Funciona muy bien y es de buena calidad,,D***v,MX,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,23 May 2024,Excellent quality.,Excellent quality.,,AliExpress Shopper,HU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,24 May 2024,Great!! Fast!!,מעולה!! מהיר!!,,R***n,IL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,17 May 2024,"Excellent, my baby loves it, I recommend it to the 100%.","Excelente, a mi bebé le encanta, lo recomiendo al 100%.",,J***a,ES,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,13 May 2024,kid likes it a lot. I like it even more because there are no annoying and repeating audio. Just lights and switches. perfect,kid likes it a lot. I like it even more because there are no annoying and repeating audio. Just lights and switches. perfect,,S***g,AE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005006457226196,100,17 May 2024,"Fast shipment. Good quality. ""Fun, engaging, and durable—perfect for endless playtime!"" My baby loves it ","Fast shipment. Good quality. ""Fun, engaging, and durable—perfect for endless playtime!"" My baby loves it ",,AliExpress Shopper,AU,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
